Year,Obs Date,Weir Count Type,Maturity,Count
1986,8/19/1986,Counted live,Adult,1
1986,8/21/1986,Counted live,Adult,2
1986,8/22/1986,Counted live,Adult,1
1986,8/23/1986,Counted live,Adult,1
1986,8/24/1986,Counted live,Adult,1
1986,8/25/1986,Counted live,Adult,10
1986,8/26/1986,Counted live,Adult,1
1986,8/28/1986,Counted live,Adult,1
1986,8/29/1986,Counted live,Adult,2
1986,8/30/1986,Counted live,Adult,3
1986,9/1/1986,Counted live,Adult,5
1986,9/3/1986,Counted live,Adult,3
1986,9/4/1986,Counted live,Adult,1
1986,9/5/1986,Counted live,Adult,1
1986,9/6/1986,Counted live,Adult,1
1986,9/9/1986,Counted live,Adult,1
1986,9/11/1986,Counted live,Adult,2
1986,9/12/1986,Counted live,Adult,1
1986,9/15/1986,Counted live,Adult,1
1986,9/17/1986,Counted live,Adult,1
1986,9/18/1986,Counted live,Adult,2
1986,9/19/1986,Counted live,Adult,1
1986,9/22/1986,Counted live,Adult,12
1986,9/23/1986,Counted live,Adult,42
1986,9/24/1986,Counted live,Adult,35
1986,9/25/1986,Counted live,Adult,23
1986,9/26/1986,Counted live,Adult,18
1986,9/27/1986,Counted live,Adult,22
1986,9/28/1986,Counted live,Adult,23
1986,9/29/1986,Counted live,Adult,37
1986,9/30/1986,Counted live,Adult,12
1986,10/1/1986,Counted live,Adult,39
1986,10/2/1986,Counted live,Adult,50
1986,10/3/1986,Counted live,Adult,42
1986,10/4/1986,Counted live,Adult,5
1986,10/6/1986,Counted live,Adult,766
1986,10/7/1986,Counted live,Adult,299
1986,10/8/1986,Counted live,Adult,5
1986,10/9/1986,Counted live,Adult,34
1986,10/10/1986,Counted live,Adult,24
1986,10/11/1986,Counted live,Adult,20
1986,10/12/1986,Counted live,Adult,6
1986,10/13/1986,Counted live,Adult,6
1986,10/14/1986,Counted live,Adult,7
1986,10/15/1986,Counted live,Adult,8
1986,10/16/1986,Counted live,Adult,5
1986,10/17/1986,Counted live,Adult,2
1986,10/18/1986,Counted live,Adult,7
1986,10/19/1986,Counted live,Adult,5
1986,10/21/1986,Counted live,Adult,3
1986,10/22/1986,Counted live,Adult,1
1986,10/23/1986,Counted live,Adult,3
1986,10/24/1986,Counted live,Adult,2
1986,10/25/1986,Counted live,Adult,6
1986,10/26/1986,Counted live,Adult,2
1986,10/27/1986,Counted live,Adult,3
1986,10/28/1986,Counted live,Adult,1
1987,5/1/1987,Counted live,Adult,96
1987,8/3/1987,Counted live,Adult,1
1987,8/4/1987,Counted live,Adult,2
1987,8/5/1987,Counted live,Adult,2
1987,8/8/1987,Counted live,Adult,1
1987,8/12/1987,Counted live,Adult,11
1987,8/16/1987,Counted live,Adult,1
1987,8/19/1987,Counted live,Adult,1
1987,8/20/1987,Counted live,Adult,1
1987,8/22/1987,Counted live,Adult,2
1987,8/30/1987,Counted live,Adult,21
1987,8/31/1987,Counted live,Adult,32
1987,9/1/1987,Counted live,Adult,20
1987,9/2/1987,Counted live,Adult,17
1987,9/3/1987,Counted live,Adult,20
1987,9/4/1987,Counted live,Adult,12
1987,9/5/1987,Counted live,Adult,6
1987,9/6/1987,Counted live,Adult,34
1987,9/7/1987,Counted live,Adult,34
1987,9/8/1987,Counted live,Adult,29
1987,9/9/1987,Counted live,Adult,34
1987,9/10/1987,Counted live,Adult,9
1987,9/12/1987,Counted live,Adult,22
1987,9/13/1987,Counted live,Adult,12
1987,9/14/1987,Counted live,Adult,9
1987,9/15/1987,Counted live,Adult,16
1987,9/16/1987,Counted live,Adult,1
1987,9/17/1987,Counted live,Adult,52
1987,9/18/1987,Counted live,Adult,53
1987,9/19/1987,Counted live,Adult,5
1987,9/20/1987,Counted live,Adult,20
1987,9/21/1987,Counted live,Adult,13
1987,9/22/1987,Counted live,Adult,13
1987,9/23/1987,Counted live,Adult,6
1987,9/24/1987,Counted live,Adult,7
1987,9/25/1987,Counted live,Adult,3
1987,9/26/1987,Counted live,Adult,5
1987,9/27/1987,Counted live,Adult,25
1987,9/28/1987,Counted live,Adult,0
1987,9/29/1987,Counted live,Adult,10
1987,9/30/1987,Counted live,Adult,151
1987,10/1/1987,Counted live,Adult,182
1987,10/2/1987,Counted live,Adult,1
1987,10/4/1987,Counted live,Adult,3
1987,10/5/1987,Counted live,Adult,7
1987,10/6/1987,Counted live,Adult,6
1987,10/7/1987,Counted live,Adult,1
