Note: This spreadsheet may include values that are preliminary or unreviewed.,,,,,,,
Activity Start Date,Activity Start Time,Monitoring Location Name,Monitoring Location Latitude,Monitoring Location Longitude,Characteristic Name,Result Value,Result Unit
7/7/2016,10:52:00 AM,Bedrock Creek,65.55677,-145.09042,pH,3.68,None
7/7/2016,10:52:00 AM,Bedrock Creek,65.55677,-145.09042,Turbidity,16.2,NTU
7/7/2016,10:52:00 AM,Bedrock Creek,65.55677,-145.09042,Total suspended solids,36.6,mg/l
7/7/2016,10:52:00 AM,Bedrock Creek,65.55677,-145.09042,Dissolved oxygen (DO),14.19,mg/l
7/7/2016,11:11:00 AM,Crooked Creek (below Bedrock),65.56158,-145.0924,Total suspended solids,22,mg/l
7/7/2016,11:11:00 AM,Crooked Creek (below Bedrock),65.56158,-145.0924,"Temperature, water",6.83,deg C
7/7/2016,11:11:00 AM,Crooked Creek (below Bedrock),65.56158,-145.0924,Dissolved oxygen (DO),13.48,mg/l
7/7/2016,11:11:00 AM,Crooked Creek (below Bedrock),65.56158,-145.0924,Specific conductance,74,uS/cm
7/7/2016,11:11:00 AM,Crooked Creek (below Bedrock),65.56158,-145.0924,pH,7.4,None
7/7/2016,11:11:00 AM,Crooked Creek (below Bedrock),65.56158,-145.0924,Turbidity,9.1,NTU
7/7/2016,11:29:00 AM,Mammoth Creek,65.55088,-145.17574,Dissolved oxygen (DO),11.1,mg/l
7/7/2016,11:29:00 AM,Mammoth Creek,65.55088,-145.17574,"Temperature, water",10.07,deg C
7/7/2016,11:29:00 AM,Mammoth Creek,65.55088,-145.17574,Specific conductance,139,uS/cm
7/7/2016,11:29:00 AM,Mammoth Creek,65.55088,-145.17574,pH,7.63,None
7/7/2016,11:29:00 AM,Mammoth Creek,65.55088,-145.17574,Total suspended solids,1.39,mg/l
7/7/2016,11:29:00 AM,Mammoth Creek,65.55088,-145.17574,Turbidity,2.1,NTU
7/7/2016,12:02:00 PM,Bonanza Creek,65.55425,-145.32305,Turbidity,1,NTU
7/7/2016,12:02:00 PM,Bonanza Creek,65.55425,-145.32305,pH,5.58,None
7/7/2016,12:02:00 PM,Bonanza Creek,65.55425,-145.32305,Dissolved oxygen (DO),12.7,mg/l
7/7/2016,12:02:00 PM,Bonanza Creek,65.55425,-145.32305,"Temperature, water",8.95,deg C
7/7/2016,12:02:00 PM,Bonanza Creek,65.55425,-145.32305,Specific conductance,138,uS/cm
7/7/2016,12:02:00 PM,Bonanza Creek,65.55425,-145.32305,Total suspended solids,1.65,mg/l
7/7/2016,12:11:00 PM,Porcupine Creek (above Bonanza),65.55971,-145.31584,Turbidity,3.3,NTU
7/7/2016,12:11:00 PM,Porcupine Creek (above Bonanza),65.55971,-145.31584,Dissolved oxygen (DO),11.71,mg/l
7/7/2016,12:11:00 PM,Porcupine Creek (above Bonanza),65.55971,-145.31584,Total suspended solids,1.3,mg/l
7/7/2016,12:11:00 PM,Porcupine Creek (above Bonanza),65.55971,-145.31584,pH,7.14,None
7/7/2016,12:11:00 PM,Porcupine Creek (above Bonanza),65.55971,-145.31584,Specific conductance,140,uS/cm
7/7/2016,12:11:00 PM,Porcupine Creek (above Bonanza),65.55971,-145.31584,"Temperature, water",10.41,deg C
7/19/2016,5:50:00 PM,Deadwood Creek,65.53982,-144.76285,Specific conductance,162,uS/cm
7/19/2016,5:50:00 PM,Deadwood Creek,65.53982,-144.76285,Dissolved oxygen (DO),16.62,mg/l
7/19/2016,5:50:00 PM,Deadwood Creek,65.53982,-144.76285,"Temperature, water",11.2,deg C
7/19/2016,5:50:00 PM,Deadwood Creek,65.53982,-144.76285,Turbidity,19,NTU
7/19/2016,5:50:00 PM,Deadwood Creek,65.53982,-144.76285,Total suspended solids,42,mg/l
7/19/2016,5:50:00 PM,Deadwood Creek,65.53982,-144.76285,pH,7.08,None
7/19/2016,7:02:00 PM,Ketchem Creek,65.50849,-144.69472,pH,6.63,None
7/19/2016,7:02:00 PM,Ketchem Creek,65.50849,-144.69472,Specific conductance,92,uS/cm
7/19/2016,7:02:00 PM,Ketchem Creek,65.50849,-144.69472,"Temperature, water",12.96,deg C
7/19/2016,7:02:00 PM,Ketchem Creek,65.50849,-144.69472,Turbidity,8.8,NTU
7/19/2016,7:02:00 PM,Ketchem Creek,65.50849,-144.69472,Dissolved oxygen (DO),16.23,mg/l
7/19/2016,7:50:00 PM,Ketchem Creek,65.50849,-144.69472,Total suspended solids,5,mg/l
7/20/2016,9:30:00 AM,Boulder Creek,65.56783,-144.88885,Turbidity,17.2,NTU
7/20/2016,9:30:00 AM,Boulder Creek,65.56783,-144.88885,Dissolved oxygen (DO),12.04,mg/l
7/20/2016,9:30:00 AM,Boulder Creek,65.56783,-144.88885,Specific conductance,89,uS/cm
